Source:,D:\Subhajit_Roy_Engineering\generic_microwave_oven_controller\Circuit\generic_microwave_oven_controller\generic_microwave_oven_controller.kicad_sch,,,,,
Date:,9/21/2022 15:19,,,,,
Tool:,Eeschema (6.0.7),,,,,
Generator:,C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,
Component Count:,20,,,,,
,,,,,,
Individual Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,C1,0.05u,Device:C,,~
,,C2,0.01u,Device:C,,~
,,D1,1N4007,Diode:1N4007,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,http://www.vishay.com/docs/88503/1n4001.pdf
,,D2,1N4007,Diode:1N4007,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,http://www.vishay.com/docs/88503/1n4001.pdf
,,D3,1N4007,Diode:1N4007,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,http://www.vishay.com/docs/88503/1n4001.pdf
,,D4,1N4007,Diode:1N4007,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,http://www.vishay.com/docs/88503/1n4001.pdf
,,J1,Screw_Terminal_01x02,Connector:Screw_Terminal_01x02,,~
,,J2,AC_IN,Connector:Screw_Terminal_01x02,,~
,,J3,AC_OUT,Connector:Screw_Terminal_01x02,,~
,,Q1,BT139-600,Triac_Thyristor:BT139-600,Package_TO_SOT_THT:TO-220-3_Vertical,https://www.rapidonline.com/pdf/47-3240.pdf
,,R1,1k_W25,Device:R,,~
,,R2,150_W25,Device:R,,~
,,R3,1k_W25,Device:R,,~
,,R4,330_W25,Device:R,,~
,,R5,360_1W,Device:R,,~
,,R6,470_1W,Device:R,,~
,,R7,39_1W,Device:R,,~
,,R8,10k_W25,Device:R,,~
,,U1,PC817,Isolator:PC817,Package_DIP:DIP-4_W7.62mm,http://www.soselectronic.cz/a_info/resource/d/pc817.pdf
,,U2,MOC3021M,Relay_SolidState:MOC3021M,,https://www.onsemi.com/pub/Collateral/MOC3023M-D.PDF
,,,,,,
,,,,,,
,,,,,,
Collated Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,1,C1,0.05u,Device:C,,~
2,1,C2,0.01u,Device:C,,~
3,4,"D1, D2, D3, D4",1N4007,Diode:1N4007,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,http://www.vishay.com/docs/88503/1n4001.pdf
4,1,J1,Screw_Terminal_01x02,Connector:Screw_Terminal_01x02,,~
5,1,J2,AC_IN,Connector:Screw_Terminal_01x02,,~
6,1,J3,AC_OUT,Connector:Screw_Terminal_01x02,,~
7,1,Q1,BT139-600,Triac_Thyristor:BT139-600,Package_TO_SOT_THT:TO-220-3_Vertical,https://www.rapidonline.com/pdf/47-3240.pdf
8,2,"R1, R3",1k_W25,Device:R,,~
9,1,R2,150_W25,Device:R,,~
10,1,R4,330_W25,Device:R,,~
11,1,R5,360_1W,Device:R,,~
12,1,R6,470_1W,Device:R,,~
13,1,R7,39_1W,Device:R,,~
14,1,R8,10k_W25,Device:R,,~
15,1,U1,PC817,Isolator:PC817,Package_DIP:DIP-4_W7.62mm,http://www.soselectronic.cz/a_info/resource/d/pc817.pdf
16,1,U2,MOC3021M,Relay_SolidState:MOC3021M,,https://www.onsemi.com/pub/Collateral/MOC3023M-D.PDF
